date,n,top5
2023-08-01,88,"[{'id': '2330', 'w': 0.5976, 'roic': 29.7}, {'id': '2454', 'w': 0.0435, 'roic': 25.8}, {'id': '2308', 'w': 0.0397, 'roic': 17.1}, {'id': '2382', 'w': 0.0347, 'roic': 17.1}, {'id': '2303', 'w': 0.022, 'roic': 22.7}]"
2023-09-01,79,"[{'id': '2330', 'w': 0.6038, 'roic': 26.3}, {'id': '2454', 'w': 0.0453, 'roic': 21.9}, {'id': '2308', 'w': 0.0385, 'roic': 18.1}, {'id': '2382', 'w': 0.0368, 'roic': 21.2}, {'id': '2303', 'w': 0.0224, 'roic': 22.8}]"
2023-10-02,79,"[{'id': '2330', 'w': 0.5906, 'roic': 26.3}, {'id': '2454', 'w': 0.0475, 'roic': 21.9}, {'id': '2382', 'w': 0.0389, 'roic': 21.2}, {'id': '2308', 'w': 0.0373, 'roic': 18.1}, {'id': '2303', 'w': 0.0223, 'roic': 22.8}]"
2023-11-01,80,"[{'id': '2330', 'w': 0.6025, 'roic': 26.3}, {'id': '2454', 'w': 0.0556, 'roic': 21.9}, {'id': '2308', 'w': 0.0329, 'roic': 18.1}, {'id': '2382', 'w': 0.0301, 'roic': 21.2}, {'id': '2303', 'w': 0.0236, 'roic': 22.8}]"
2023-12-01,68,"[{'id': '2330', 'w': 0.6096, 'roic': 22.8}, {'id': '2454', 'w': 0.0574, 'roic': 17.1}, {'id': '2308', 'w': 0.0338, 'roic': 15.3}, {'id': '2382', 'w': 0.0291, 'roic': 21.7}, {'id': '2303', 'w': 0.0231, 'roic': 17.7}]"
2024-01-02,69,"[{'id': '2330', 'w': 0.6116, 'roic': 22.8}, {'id': '2454', 'w': 0.0579, 'roic': 17.1}, {'id': '2308', 'w': 0.0319, 'roic': 15.3}, {'id': '2382', 'w': 0.0303, 'roic': 21.7}, {'id': '2303', 'w': 0.0235, 'roic': 17.7}]"
2024-02-01,68,"[{'id': '2330', 'w': 0.6221, 'roic': 22.8}, {'id': '2454', 'w': 0.0541, 'roic': 17.1}, {'id': '2382', 'w': 0.033, 'roic': 21.7}, {'id': '2308', 'w': 0.0282, 'roic': 15.3}, {'id': '2303', 'w': 0.0214, 'roic': 17.7}]"
2024-03-01,65,"[{'id': '2330', 'w': 0.6471, 'roic': 20.5}, {'id': '2454', 'w': 0.061, 'roic': 19.1}, {'id': '2382', 'w': 0.0306, 'roic': 22.1}, {'id': '2308', 'w': 0.0275, 'roic': 16.1}, {'id': '2303', 'w': 0.0199, 'roic': 15.8}]"
2024-04-01,65,"[{'id': '2330', 'w': 0.6648, 'roic': 20.5}, {'id': '2454', 'w': 0.0586, 'roic': 19.1}, {'id': '2382', 'w': 0.0333, 'roic': 22.1}, {'id': '2308', 'w': 0.0287, 'roic': 16.1}, {'id': '2303', 'w': 0.0195, 'roic': 15.8}]"
2024-05-02,65,"[{'id': '2330', 'w': 0.6775, 'roic': 20.5}, {'id': '2454', 'w': 0.0513, 'roic': 19.1}, {'id': '2382', 'w': 0.0323, 'roic': 22.1}, {'id': '2308', 'w': 0.027, 'roic': 16.1}, {'id': '2303', 'w': 0.0193, 'roic': 15.8}]"
