stock_id,name,industry,market,market_cap,price
6477,安集,電子工業,twse,4580145936.0,37.0
6794,向榮生技-創,創新版股票,twse,4569136794.204712,71.80000305175781
6902,GOGOLOOK-創,創新版股票,twse,4494538422.0,126.5
6603,富強鑫,電機機械,tpex,4483080000.0,27.0
5381,光譜,電子零組件業,tpex,4316329246.787025,24.450000762939453
3054,立萬利,電子工業,twse,4290635442.731861,53.20000076293945
2718,晶悅,觀光事業,tpex,4263425750.0,49.75
8924,大田,其他,tpex,4240279872.1313477,50.599998474121094
6629,泰金-KY,其他,tpex,4239995500.0,110.5
6546,正基,通信網路業,tpex,4204739302.001953,62.900001525878906
6689,伊雲谷,其他電子業,twse,4142579896.54541,61.099998474121094
2748,雲品,觀光事業,twse,4114803261.405945,38.900001525878906
8162,微矽電子-創,創新版股票,twse,4060288095.1690674,59.099998474121094
6568,宏觀,半導體業,tpex,3880762200.0,126.0
5321,美而快,電子零組件業,tpex,3876840306.1466217,72.9000015258789
2254,巨鎧精密-創,創新版股票,twse,3844426451.358795,60.29999923706055
2062,橋椿,其他,twse,3829887934.5082855,19.149999618530273
5706,鳳凰,觀光事業,twse,3819817024.180298,45.599998474121094
6486,互動,通信網路業,tpex,3755903555.3131104,73.80000305175781
6951,青新-創,創新版股票,twse,3733600086.891403,71.80000305175781
6588,東典光電,通信網路業,tpex,3730338687.5,107.5
2241,艾姆勒,電機機械,twse,3671540780.9895477,35.099998474121094
6569,醫揚,生技醫療業,tpex,3653045000.0,93.5
4130,健亞,生技醫療業,tpex,3651225104.33197,26.700000762939453
6596,寬宏藝術,文化創意業,tpex,3625200057.9833984,95.4000015258789
6498,久禾光,光電業,tpex,3622418944.885254,76.30000305175781
9935,慶豐富,其他,twse,3560778751.5,20.25
3669,圓展,光電業,twse,3549544070.892334,38.20000076293945
6165,浪凡,電子零組件業,twse,3539468354.01725,48.099998474121094
6275,元山,其他電子類,tpex,3514730938.7779236,43.79999923706055
2739,寒舍,觀光事業,twse,3482564230.1712036,38.04999923706055
6582,申豐,橡膠工業,twse,3471889881.0043335,32.70000076293945
6612,奈米醫材,生技醫療業,tpex,3451495804.904785,73.19999694824219
1443,立益,紡織纖維,twse,3403876675.0207386,25.149999618530273
1595,川寶,電子零組件業,tpex,3389064758.8272095,62.79999923706055
5604,中連貨,航運業,tpex,3350515331.405182,30.799999237060547
6198,瑞築,半導體業,tpex,3325166724.6159554,19.399999618530273
1598,岱宇,生技醫療業,twse,3317752542.9081573,20.299999237060547
6728,上洋,貿易百貨,tpex,3313200000.0,110.0
2754,亞洲藏壽司,觀光事業,tpex,3290063256.9732666,70.19999694824219
5902,德記,貿易百貨,tpex,3279150072.0977783,34.70000076293945
6516,勤崴國際,資訊服務業,tpex,3232958621.7004013,57.900001525878906
6532,瑞耘,半導體業,tpex,3216538184.43676,85.9000015258789
2722,夏都,觀光事業,twse,3214159784.4298096,22.450000762939453
6492,生華科,生技醫療業,tpex,3161976476.678257,34.79999923706055
5432,新門,光電業,tpex,3123858404.0,151.0
2705,六福,觀光事業,twse,3070573504.0397644,16.049999237060547
8433,弘帆,貿易百貨,tpex,3046890961.369705,55.900001525878906
2745,五福,觀光事業,tpex,3032667196.82312,89.69999694824219
6283,淳安,電子工業,twse,2988743506.0253143,20.350000381469727
6598,ABC-KY,化學生技醫療,twse,2935482371.5553284,28.549999237060547
6425,易發,電機機械,tpex,2927534437.64682,57.599998474121094
3685,元創精密,光電業,tpex,2920365860.710144,36.70000076293945
2732,六角,觀光事業,tpex,2882864265.0,64.5
6292,迅德,電子零組件業,tpex,2870603788.0929565,61.599998474121094
9103,美德醫療-DR,存託憑證,twse,2860784010.0,5.25
6485,點序,半導體業,tpex,2846696527.7252197,60.099998474121094
6609,瀧澤科,電機機械,tpex,2833029489.440918,39.099998474121094
6606,建德工業,電機機械,twse,2829292427.9224396,25.649999618530273
9110,越南控-DR,存託憑證,twse,2822884704.7805786,3.109999895095825
6754,匯僑設計,其他,twse,2798400100.708008,42.400001525878906
6504,南六,其他,twse,2780579944.6105957,38.29999923706055
6530,創威,通信網路業,tpex,2770874948.501587,82.0999984741211
3178,公準,電機機械,tpex,2757060034.3704224,61.20000076293945
2743,山富,觀光事業,tpex,2748052862.7171707,58.70000076293945
